species,lat,lon
Amborella_trichopoda,-20.90937,164.88927
Amborella_trichopoda,-20.95139,164.91656
Amborella_trichopoda,-20.83048,165.08311
Amborella_trichopoda,-20.81364,165.0975
Amborella_trichopoda,-20.978,165.11
Amborella_trichopoda,-20.87257,165.11862
Amborella_trichopoda,-21.03,165.17056
Amborella_trichopoda,-20.8513,165.18178
Amborella_trichopoda,-20.81861,165.19111
Amborella_trichopoda,-20.80868,165.20378
Amborella_trichopoda,-20.82028,165.21056
Amborella_trichopoda,-21.02306,165.22647
Amborella_trichopoda,-21.02314,165.22649
Amborella_trichopoda,-21.02791,165.22807
Amborella_trichopoda,-21.03056,165.23341
Amborella_trichopoda,-21.01389,165.23361
Amborella_trichopoda,-20.9975,165.24278
Amborella_trichopoda,-21.01556,165.25166
Amborella_trichopoda,-21.17639,165.26778
Amborella_trichopoda,-21.17974,165.28018
Amborella_trichopoda,-21.03,165.28
Amborella_trichopoda,-21.17444,165.29722
Amborella_trichopoda,-21.18083,165.3
Amborella_trichopoda,-21.17944,165.30333
Amborella_trichopoda,-21.15707,165.31668
Amborella_trichopoda,-21.07005,165.33859
Amborella_trichopoda,-21.05225,165.35667
Amborella_trichopoda,-21.42944,165.45417
Amborella_trichopoda,-21.22497,165.47583
Amborella_trichopoda,-21.42928,165.51678
Amborella_trichopoda,-21.21192,165.544
Amborella_trichopoda,-21.21487,165.54428
Amborella_trichopoda,-21.4481,165.55354
Amborella_trichopoda,-21.42889,165.55694
Amborella_trichopoda,-21.47056,165.6375
Amborella_trichopoda,-21.33139,165.64778
Amborella_trichopoda,-21.33,165.65
Amborella_trichopoda,-21.53346,165.67758
Amborella_trichopoda,-21.53623,165.68465
Amborella_trichopoda,-21.52325,165.70491
Amborella_trichopoda,-21.54556,165.72472
Amborella_trichopoda,-21.54508,165.72747
Amborella_trichopoda,-21.56426,165.76703
Amborella_trichopoda,-21.56068,165.76778
Amborella_trichopoda,-21.61167,165.81028
Amborella_trichopoda,-21.61064,165.81047
Amborella_trichopoda,-21.61861,165.81389
Amborella_trichopoda,-21.57694,165.8275
Amborella_trichopoda,-21.57984,165.83305
Amborella_trichopoda,-21.58895,165.84175
Amborella_trichopoda,-21.59111,165.8425
Amborella_trichopoda,-21.62553,165.86536
Amborella_trichopoda,-21.6,165.86667
Amborella_trichopoda,-21.625,165.86778
Amborella_trichopoda,-21.62472,165.87083
Amborella_trichopoda,-21.62384,165.87083
Amborella_trichopoda,-21.62078,165.87408
Amborella_trichopoda,-21.62389,165.875
Amborella_trichopoda,-21.62694,165.87694
Amborella_trichopoda,-21.57722,165.88083
Amborella_trichopoda,-21.64258,165.92165
Amborella_trichopoda,-21.59621,165.93661
Amborella_trichopoda,-21.59961,165.94527
Amborella_trichopoda,-21.60559,165.95967
Amborella_trichopoda,-21.58556,165.97144
Amborella_trichopoda,-21.64645,166.04597
Amborella_trichopoda,-21.63028,166.05583
Amborella_trichopoda,-21.63614,166.05656
Amborella_trichopoda,-21.65444,166.05833
Amborella_trichopoda,-21.64524,166.06135
Amborella_trichopoda,-21.22497,165.47583
Amborella_trichopoda,-21.57972,165.83306
Amborella_trichopoda,-21.53317,165.6879
Amborella_trichopoda,-21.56426,165.76703
Amborella_trichopoda,-21.53306,165.68778
Amborella_trichopoda,-21.6242,165.87068
Amborella_trichopoda,-21.02008,165.22973
Amborella_trichopoda,-21.6225,165.86694
Amborella_trichopoda,-20.33992,164.49568
Amborella_trichopoda,-20.64073,164.89257
Amborella_trichopoda,-21.64222,166.06472
Amborella_trichopoda,-21.62263,165.86683
Amborella_trichopoda,-21.18364,165.29702
Amborella_trichopoda,-21.55072,165.4629
Amborella_trichopoda,-21.6225,165.86694
Amborella_trichopoda,-21.62144444,165.8696111
Amborella_trichopoda,-21.02485,165.23132
Amborella_trichopoda,-21.6333,165.867
Amborella_trichopoda,-21.17444,165.29722
Amborella_trichopoda,-21.6242,165.87068
Amborella_trichopoda,-21.6225,165.86694
Amborella_trichopoda,-20.82,165.22917
Amborella_trichopoda,-21.6425,165.92167
Amborella_trichopoda,-21.17974,165.28018
Amborella_trichopoda,-20.85139,165.18167
Amborella_trichopoda,-21.28251,165.62827
Amborella_trichopoda,-21.6242,165.87068
Amborella_trichopoda,-21.62539,165.86133
Amborella_trichopoda,-20.90944,164.88917
Amborella_trichopoda,-21.6225,165.86694
Amborella_trichopoda,-20.83056,165.08306
Amborella_trichopoda,-21.6425,165.92167
Amborella_trichopoda,-21.64645,166.04598
Amborella_trichopoda,-21.00083,165.24222
Amborella_trichopoda,-21.59611,165.93667
Amborella_trichopoda,-21.06694,165.34194
Amborella_trichopoda,-21.6242,165.87068
Amborella_trichopoda,-21.01555,165.25166
Amborella_trichopoda,-21.6,165.85
Amborella_trichopoda,-21.63027,166.05583
Amborella_trichopoda,-21.6242,165.87068
Amborella_trichopoda,-21.62263,165.86683
Amborella_trichopoda,-21.59961,165.94526
Amborella_trichopoda,-20.8725,165.11861
Amborella_trichopoda,-21.15707,165.31668
Amborella_trichopoda,-20.33992,164.49568
Amborella_trichopoda,-21.6667,165.8333
Amborella_trichopoda,-21.56056,165.76778
Amborella_trichopoda,-21.6575,166.06361
Amborella_trichopoda,-21.57722,165.88083
Amborella_trichopoda,-20.81666,165.23333
Amborella_trichopoda,-20.9975,165.2427777
Amborella_trichopoda,-21.03,165.17055
Amborella_trichopoda,-20.64073,164.89257
Amborella_trichopoda,-21.5673,165.48426
Amborella_trichopoda,-20.64073,164.89257
Amborella_trichopoda,-21.02,165.22972
Amborella_trichopoda,-20.90944,164.88917
Amborella_trichopoda,-20.64073,164.89257
Amborella_trichopoda,-21.616667,165.95
Amborella_trichopoda,-21.6333,165.867
Amborella_trichopoda,-21.6333,165.867
Amborella_trichopoda,-21.03333,165.28333
Amborella_trichopoda,-21.61666,165.88333
Amborella_trichopoda,-21.62556,165.86528
Amborella_trichopoda,-20.9975,165.24278
Amborella_trichopoda,-21.62556,165.86528
Amborella_trichopoda,-21.62263,165.86683
Amborella_trichopoda,-21.15694,165.31667
Amborella_trichopoda,-21.53306,165.68778
Amborella_trichopoda,-21.44806,165.55361
Amborella_trichopoda,-20.98431,165.10319
Amborella_trichopoda,-21.6242,165.87068
Amborella_trichopoda,-21.33333,165.65
Amborella_trichopoda,-21.6,165.85
Amborella_trichopoda,-21.61666,165.88333
Amborella_trichopoda,-21.62388,165.875
Amborella_trichopoda,-21.62694,165.87694
Amborella_trichopoda,-21.6575,166.06361
Amborella_trichopoda,-20.33992,164.49568
Amborella_trichopoda,-21.02472,165.23139
Amborella_trichopoda,-20.64073,164.89257
Amborella_trichopoda,-21.62263,165.86683
Amborella_trichopoda,-21.49361,165.93583
Amborella_trichopoda,-21.57722,165.88083
Amborella_trichopoda,-21.6667,165.8333
Amborella_trichopoda,-21.6333,165.867
Amborella_trichopoda,-20.81861,165.19111
Amborella_trichopoda,-21.5772,-165.881
Amborella_trichopoda,-22.1667,-165.267
Amborella_trichopoda,-21.58895,165.84175
Amborella_trichopoda,-21.52333,165.705
Amborella_trichopoda,-21.6242,165.87068
Amborella_trichopoda,-21.215,165.54417
Amborella_trichopoda,-21.60556,165.95972
Amborella_trichopoda,-20.9975,165.24278
Amborella_trichopoda,-21.6667,165.8333
Amborella_trichopoda,-21.6667,165.8333
Amborella_trichopoda,-21.56666,165.7
Amborella_trichopoda,-21.57722,165.88083
Amborella_trichopoda,-21.6,165.85
Amborella_trichopoda,-21.02008,165.22973
Amborella_trichopoda,-21.01556,165.25167
Amborella_trichopoda,-20.83056,165.08306
Amborella_trichopoda,-21.53317,165.6879
Amborella_trichopoda,-21.42889,165.55694
Amborella_trichopoda,-21.63695,166.05339
Amborella_trichopoda,-21.629017,165.869827
Amborella_trichopoda,-21.01556,165.25167
Amborella_trichopoda,-20.80868,165.20378
Amborella_trichopoda,-20.64073,164.89257
Amborella_trichopoda,-21.62263,165.86683
Amborella_trichopoda,-21.6667,165.8333
Amborella_trichopoda,-21.62144444,165.8696111
Amborella_trichopoda,-21.33333,165.65
Amborella_trichopoda,-21.65444,166.05833
Amborella_trichopoda,-21.625,165.86777
Amborella_trichopoda,-21.625,165.86778
Amborella_trichopoda,-21.15707,165.31668
Amborella_trichopoda,-21.22497,165.47583
Amborella_trichopoda,-21.47056,165.6375
Amborella_trichopoda,-20.64073,164.89257
Amborella_trichopoda,-21.58556,165.97139
Amborella_trichopoda,-21.04919,165.35993
Amborella_trichopoda,-21.0275,165.23667
Amborella_trichopoda,-21.1786,165.318
Amborella_trichopoda,-21.17444,165.29722
Amborella_trichopoda,-21.61861,165.81389
Amborella_trichopoda,-20.64073,164.89257
Amborella_trichopoda,-21.15333,165.31694
Amborella_trichopoda,-21.6242,165.87068
Amborella_trichopoda,-21.06,165.36
Amborella_trichopoda,-20.64073,164.89257
Amborella_trichopoda,-21.65444,166.05833
Amborella_trichopoda,-20.9975,165.242778
Amborella_trichopoda,-21.616667,165.95
Amborella_trichopoda,-21.18364,165.29702
Amborella_trichopoda,-21.57972,165.83306
Amborella_trichopoda,-21.53317,165.6879
Amborella_trichopoda,-21.56426,165.76703
Amborella_trichopoda,-21.6242,165.87068
Amborella_trichopoda,-21.02008,165.22973
Amborella_trichopoda,-21.64222,166.06472
Amborella_trichopoda,-21.18364,165.29702
Amborella_trichopoda,-21.6333,165.867
Amborella_trichopoda,-20.82,165.22917
Amborella_trichopoda,-21.6425,165.92167
Amborella_trichopoda,-21.17974,165.28018
Amborella_trichopoda,-20.85139,165.18167
Amborella_trichopoda,-21.62539,165.86133
Amborella_trichopoda,-20.90944,164.88917
Amborella_trichopoda,-20.83056,165.08306
Amborella_trichopoda,-21.64645,166.04598
Amborella_trichopoda,-21.00083,165.24222
Amborella_trichopoda,-21.59611,165.93667
Amborella_trichopoda,-21.06694,165.34194
Amborella_trichopoda,-21.01555,165.25166
Amborella_trichopoda,-21.6,165.85
Amborella_trichopoda,-21.63027,166.05583
Amborella_trichopoda,-20.8725,165.11861
Amborella_trichopoda,-21.15707,165.31668
Amborella_trichopoda,-21.6667,165.8333
Amborella_trichopoda,-21.6575,166.06361
Amborella_trichopoda,-20.81666,165.23333
Amborella_trichopoda,-20.9975,165.2427777
Amborella_trichopoda,-21.03,165.17055
Amborella_trichopoda,-21.616667,165.95
Amborella_trichopoda,-21.44806,165.55361
Amborella_trichopoda,-21.33333,165.65
Amborella_trichopoda,-21.62388,165.875
Amborella_trichopoda,-21.62694,165.87694
Amborella_trichopoda,-20.81861,165.19111
Amborella_trichopoda,-21.58895,165.84175
Amborella_trichopoda,-21.52333,165.705
Amborella_trichopoda,-21.215,165.54417
Amborella_trichopoda,-21.60556,165.95972
Amborella_trichopoda,-21.56666,165.7
Amborella_trichopoda,-21.42889,165.55694
Amborella_trichopoda,-21.63695,166.05339
Amborella_trichopoda,-21.65444,166.05833
Amborella_trichopoda,-21.47056,165.6375
Amborella_trichopoda,-21.04919,165.35993
Amborella_trichopoda,-21.61861,165.81389
Amborella_trichopoda,-21.06,165.36
Amborella_trichopoda,-21.55072,165.4629
Amborella_trichopoda,-20.33992,164.49568
Amborella_trichopoda,-21.22497,165.47583
Amborella_trichopoda,-21.03333,165.28333
Amborella_trichopoda,-21.61666,165.88333
Amborella_trichopoda,-21.57722,165.88083
Amborella_trichopoda,-21.17444,165.29722
Amborella_trichopoda,-21.49361,165.93583
Amborella_trichopoda,-21.58556,165.97139
Amborella_trichopoda,-20.80868,165.20378
Amborella_trichopoda,-21.5673,165.48426
