locality gis_row gis_col alt bio1 bio2 bio3 bio4 bio12 bio15 slope_var soil_var asp_n_var asp_w_var asp_s_var asp_e_var biomax
NCNAA 317 403 651 195 75 53 2392 1731 39 0 6225 0 0 88 12 0.738161
NCPW 234 267 812 190 70 52 2254 1783 51 0 6225 18 58 1 22 0.378827
NCTOB 219 287 527 207 71 53 2177 2155 52 0 6305 36 0 14 50 0.384381
NCTC 242 305 528 206 71 53 2222 1901 50 0 6225 35 20 20 25 0.599047
NCPO 219 303 155 225 70 55 2054 2386 49 0 6225 65 4 6 25 0.496571
NCAOC 264 313 586 200 72 53 2259 1577 48 0 6305 17 9 33 40 0.55509
NCBA 266 342 267 218 73 54 2218 1859 48 0 6225 24 10 18 46 0.5344
NCBO 292 340 466 211 74 54 2260 1453 45 0 6225 0 0 71 29 0.554678
NCMO 305 358 496 205 74 53 2322 1441 43 0 6261 4 7 34 54 0.417226
NCMF 306 364 546 205 75 54 2312 1468 43 0 6225 3 23 51 23 0.573886
NCAM 314 374 465 205 75 53 2341 1467 42 0 6225 1 19 50 29 0.615885
NCDOB 315 381 734 193 74 52 2396 1606 40 0 6225 0 57 43 0 0.742234
