SweeD_11.Position SweeD_11.Likelihood
5451046 2.723032
5451381 2.507765
11967819 2.512265
12174648 3.746798
12575587 2.303012
18104402 2.586308
22093718 2.436959
28837400 2.046151
28837734 2.266844
28838068 2.399205
28838404 2.349471
28838738 2.193826
28840746 2.160456
28841080 2.021839
29004066 2.536652
29004402 2.169168
29241350 2.434563
29241686 2.943031
29242020 2.885687
29242354 2.114853
29246036 3.013186
34984024 2.110146
34984356 2.199627
35317692 2.285789
35828740 2.417697
35829408 2.366874
35829744 2.455723
