ind_names chr1_loc922265 chr1_loc6953943 chr1_loc16448434 chr1_loc16448843 chr1_loc24510728 chr1_loc24511136 chr1_loc24513184 chr1_loc39466312 chr1_loc39828556 chr1_loc42679852 chr1_loc42681080 chr1_loc42682308 chr1_loc42683124 chr1_loc42699908 chr3_loc8467212 chr3_loc8467637 chr3_loc10723535 chr3_loc10821156 chr3_loc10822005 chr3_loc20737770 chr3_loc20738618 chr3_loc36316412 chr3_loc40601984 chr3_loc40603680 chr3_loc40604104 chr3_loc40608772 chr3_loc40609196 chr3_loc40610472 chr3_loc40610896 chr3_loc40611320 chr3_loc40617264 chr3_loc40617688 chr3_loc51454912 chr3_loc57877112 chr6_loc40563488 chr6_loc40563848 chr6_loc40564212 chr7_loc2225835 chr7_loc5354765 chr7_loc14758988 chr7_loc26844222 chr8_loc4493770 chr8_loc4495004 chr8_loc4495313 chr8_loc4495621 chr8_loc4501173 chr8_loc8442285 chr8_loc8442594 chr8_loc8442902 chr8_loc8518467 chr8_loc8518776 chr8_loc8519084 chr8_loc8519393 chr8_loc8520935 chr8_loc8525870 chr8_loc8526795 chr8_loc8527103 chr8_loc8527412 chr8_loc8527720 chr8_loc8528029 chr8_loc8528337 chr8_loc8529571 chr8_loc8530188 chr8_loc8533272 chr8_loc8533580 chr8_loc13563757 chr8_loc13564066 chr8_loc13564374 chr8_loc13564682 chr8_loc13564991 chr8_loc13565299 chr8_loc13566225 chr8_loc13566841 chr8_loc13567150 chr8_loc13567458 chr8_loc13567767 chr8_loc13568075 chr8_loc13568384 chr8_loc13569000 chr8_loc13569309 chr8_loc22136864 chr8_loc22137172 chr8_loc22145192 chr8_loc22909788 chr8_loc22910096 chr8_loc22914108 chr8_loc22914416 chr8_loc22914724 chr8_loc22915032 chr8_loc22915340 chr8_loc25135416 chr9_loc3736000 chr9_loc51668440 chr9_loc51739680 chr10_loc31565552 chr10_loc31565900 chr10_loc31566252 chr10_loc31566604 chr10_loc31566952 chr10_loc31567304 chr10_loc31567656 chr10_loc31568004 chr10_loc31568356 chr11_loc12174648 chr11_loc29241686 chr11_loc29246036 chr13_loc18452680 chr13_loc18454068 chr13_loc18454530 chr13_loc20040128 chr13_loc29460064 chr13_loc30114006 chr13_loc30147072 chr13_loc30147304 chr13_loc30147534 chr13_loc30148922 chr13_loc30150078 chr13_loc30150310 chr13_loc30150540 chr13_loc30150772 chr13_loc30151004
NCAM 0.831168831168831 0.347826086956522 0.555555555555556 0.555555555555556 0.85 0.85 0.85 0.613207547169811 0.8 0.618421052631579 0.581818181818182 0.569444444444444 0.585714285714286 0.729508196721312 0.787878787878788 0.814814814814815 0.882352941176471 0.833333333333333 0.823529411764706 0.583333333333333 0.583333333333333 0.5 0.53921568627451 0.543478260869565 0.527777777777778 0.59375 0.59375 0.59375 0.59375 0.59375 0.5 0.5 0.567567567567568 0.933962264150943 0.815789473684211 1 1 0.733333333333333 0.8 0.842105263157895 0.519230769230769 0.765957446808511 0.730769230769231 0.772727272727273 0.805555555555556 0.666666666666667 0.592592592592593 0.65 0.666666666666667 1 1 1 1 0.660714285714286 0.6875 0.166666666666667 0.166666666666667 0.166666666666667 0.375 0.5 0.5 0.672413793103448 0.617647058823529 0.5625 0.125 0.5 0.25 0.5 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.45 0.5 0.25 0.75 0.75 0.8 0.8 0.697368421052632 0.5 0.5 0.65 0.65 0.666666666666667 0.666666666666667 0.5 0.25 0.764705882352941 0.75 0.7 0.333333333333333 0.285714285714286 0.296296296296296 0.296296296296296 0.275862068965517 0.275862068965517 0.275862068965517 0.275862068965517 0.296296296296296 0.2 1 0.861111111111111 0.647058823529412 0.617647058823529 0.589285714285714 0.71875 0.827586206896552 0.714285714285714 0.75 0.75 0.7 0.704545454545455 0.69047619047619 0.666666666666667 0.694444444444444 0.735294117647059 0.735294117647059
NCAOC 0.694805194805195 0.58695652173913 0.277777777777778 0.277777777777778 0.75 0.75 0.75 0.792452830188679 0.7 0.578947368421053 0.572727272727273 0.597222222222222 0.607142857142857 0.745901639344262 0.848484848484849 0.833333333333333 0.676470588235294 0.75 0.735294117647059 0.583333333333333 0.583333333333333 0.666666666666667 0.558823529411765 0.550724637681159 0.527777777777778 0.65625 0.65625 0.65625 0.65625 0.65625 0.659090909090909 0.659090909090909 0.567567567567568 0.849056603773585 0.921052631578947 1 0.928571428571429 0.8 0.8 0.684210526315789 0.557692307692308 0.765957446808511 0.730769230769231 0.727272727272727 0.777777777777778 0.619047619047619 0.425925925925926 0.475 0.466666666666667 1 1 1 1 0.696428571428571 0.625 0 0 0 0.25 0.375 0.375 0.689655172413793 0.632352941176471 0.5625 0.125 0 0 0.5 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.5 0.571428571428571 0.25 0.75 0.75 0.7 0.7 0.763157894736842 1 0.75 0.55 0.55 0.5 0.5 1 0.5 0.764705882352941 0.71875 0.7 0.222222222222222 0.142857142857143 0.148148148148148 0.148148148148148 0.172413793103448 0.172413793103448 0.172413793103448 0.172413793103448 0.185185185185185 0.4 1 0.75 0.882352941176471 0.882352941176471 0.857142857142857 0.875 0.948275862068966 0.714285714285714 0.725 0.75 0.76 0.75 0.761904761904762 0.777777777777778 0.805555555555556 0.823529411764706 0.823529411764706
NCBA 0.681818181818182 0.369565217391304 0.666666666666667 0.666666666666667 0.9 0.9 0.9 0.726415094339623 0.7 0.697368421052632 0.681818181818182 0.631944444444444 0.642857142857143 0.729508196721312 0.924242424242424 0.907407407407407 0.647058823529412 0.722222222222222 0.705882352941176 0.666666666666667 0.666666666666667 0.5 0.647058823529412 0.652173913043478 0.657407407407407 0.78125 0.78125 0.78125 0.78125 0.78125 0.636363636363636 0.636363636363636 0.621621621621622 0.783018867924528 0.710526315789474 0.5 0.714285714285714 0.466666666666667 0.433333333333333 0.815789473684211 0.557692307692308 0.75531914893617 0.653846153846154 0.681818181818182 0.694444444444444 0.619047619047619 0.574074074074074 0.625 0.6 0.5 0.666666666666667 0.666666666666667 0.666666666666667 0.660714285714286 0.6875 0.166666666666667 0.166666666666667 0.166666666666667 0.25 0.416666666666667 0.416666666666667 0.655172413793103 0.573529411764706 0.4375 0 0 0.25 0.5 0.545454545454545 0.545454545454545 0.545454545454545 0.545454545454545 0.545454545454545 0.545454545454545 0.545454545454545 0.6 0.642857142857143 0.75 0.5 0.5 0.7 0.7 0.75 0.5 0.5 0.7 0.7 0.722222222222222 0.75 0.75 0.25 0.75 0.71875 0.8 0.138888888888889 0.0714285714285714 0.0925925925925926 0.0925925925925926 0.103448275862069 0.103448275862069 0.103448275862069 0.103448275862069 0.111111111111111 0.2 0.875 0.833333333333333 0.75 0.764705882352941 0.732142857142857 0.6875 0.96551724137931 0.771428571428571 0.625 0.645833333333333 0.64 0.659090909090909 0.666666666666667 0.694444444444444 0.75 0.823529411764706 0.823529411764706
NCBO 0.909090909090909 0.565217391304348 0.666666666666667 0.666666666666667 0.65 0.65 0.65 0.764150943396226 0.9 0.578947368421053 0.563636363636364 0.541666666666667 0.571428571428571 0.737704918032787 0.833333333333333 0.814814814814815 0.676470588235294 0.694444444444444 0.705882352941176 0.583333333333333 0.583333333333333 0.666666666666667 0.598039215686274 0.58695652173913 0.583333333333333 0.65625 0.65625 0.65625 0.65625 0.65625 0.636363636363636 0.636363636363636 0.540540540540541 0.839622641509434 0.710526315789474 0.5 0.714285714285714 0.533333333333333 0.7 0.815789473684211 0.615384615384615 0.787234042553192 0.75 0.795454545454545 0.833333333333333 0.595238095238095 0.518518518518519 0.575 0.6 0.25 0.333333333333333 0.333333333333333 0.333333333333333 0.571428571428571 0.4375 0 0 0 0.25 0.5 0.5 0.706896551724138 0.632352941176471 0.5 0.125 0 0 0.444444444444444 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.55 0.642857142857143 0.75 0.5 0.5 0.5 0.5 0.644736842105263 1 1 0.65 0.65 0.666666666666667 0.666666666666667 0.5 0.25 0.808823529411765 0.625 0.7 0.166666666666667 0.0952380952380952 0.111111111111111 0.111111111111111 0.103448275862069 0.103448275862069 0.103448275862069 0.103448275862069 0.111111111111111 0.2 1 0.861111111111111 0.838235294117647 0.867647058823529 0.892857142857143 0.84375 0.913793103448276 0.728571428571429 0.65 0.666666666666667 0.64 0.636363636363636 0.642857142857143 0.611111111111111 0.694444444444444 0.764705882352941 0.764705882352941
NCDOB 0.818181818181818 0.369565217391304 0.5 0.5 0.8 0.8 0.8 0.764150943396226 0.85 0.539473684210526 0.536363636363636 0.534722222222222 0.571428571428571 0.672131147540984 0.833333333333333 0.796296296296296 0.617647058823529 0.805555555555556 0.852941176470588 0.583333333333333 0.583333333333333 0.75 0.470588235294118 0.492753623188406 0.481481481481482 0.625 0.625 0.625 0.625 0.625 0.5 0.5 0.554054054054054 0.858490566037736 0.736842105263158 1 0.928571428571429 0.666666666666667 0.633333333333333 0.763157894736842 0.538461538461538 0.712765957446808 0.711538461538462 0.75 0.805555555555556 0.69047619047619 0.5 0.55 0.5 1 1 1 1 0.678571428571429 0.625 0 0 0 0.125 0.416666666666667 0.416666666666667 0.603448275862069 0.544117647058824 0.4375 0 0 0 0.388888888888889 0.409090909090909 0.409090909090909 0.409090909090909 0.409090909090909 0.409090909090909 0.409090909090909 0.409090909090909 0.45 0.5 0.5 0.75 0.75 0.5 0.5 0.671052631578947 0.5 0.5 0.7 0.7 0.666666666666667 0.666666666666667 0.5 0.5 0.764705882352941 0.71875 0.6 0.333333333333333 0.333333333333333 0.407407407407407 0.407407407407407 0.396551724137931 0.396551724137931 0.396551724137931 0.396551724137931 0.425925925925926 0.4 0.875 0.777777777777778 0.647058823529412 0.691176470588235 0.660714285714286 0.9375 0.775862068965517 0.657142857142857 0.725 0.770833333333333 0.66 0.681818181818182 0.69047619047619 0.638888888888889 0.694444444444444 0.735294117647059 0.735294117647059
NCMF 0.987012987012987 0.91304347826087 0.5 0.5 0.95 0.95 0.95 0.764150943396226 0.65 0.671052631578947 0.627272727272727 0.604166666666667 0.621428571428571 0.713114754098361 0.863636363636364 0.907407407407407 0.794117647058824 0.916666666666667 0.911764705882353 0.666666666666667 0.666666666666667 0.583333333333333 0.588235294117647 0.608695652173913 0.611111111111111 0.65625 0.65625 0.65625 0.65625 0.65625 0.522727272727273 0.522727272727273 0.756756756756757 0.849056603773585 0.789473684210526 1 0.857142857142857 1 0.7 0.789473684210526 0.596153846153846 0.840425531914894 0.846153846153846 0.863636363636364 0.861111111111111 0.547619047619048 0.333333333333333 0.45 0.433333333333333 1 1 1 1 0.678571428571429 0.75 0.333333333333333 0.333333333333333 0.333333333333333 0.5 0.625 0.625 0.758620689655172 0.705882352941176 0.625 0.25 0 0 0.388888888888889 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.5 0.571428571428571 0.75 0.5 0.5 0.5 0.5 0.736842105263158 1 1 0.7 0.7 0.722222222222222 0.833333333333333 1 0.75 0.823529411764706 0.875 0.7 0.166666666666667 0.19047619047619 0.259259259259259 0.259259259259259 0.258620689655172 0.258620689655172 0.258620689655172 0.258620689655172 0.277777777777778 1 1 0.944444444444444 0.720588235294118 0.735294117647059 0.714285714285714 0.96875 0.827586206896552 0.7 0.625 0.604166666666667 0.62 0.636363636363636 0.619047619047619 0.666666666666667 0.75 0.823529411764706 0.823529411764706
NCMO 0.87012987012987 0.565217391304348 0.611111111111111 0.611111111111111 0.95 0.95 0.95 0.632075471698113 0.75 0.592105263157895 0.572727272727273 0.555555555555556 0.578571428571429 0.745901639344262 0.909090909090909 0.925925925925926 0.970588235294118 0.861111111111111 0.852941176470588 0.666666666666667 0.666666666666667 0.75 0.529411764705882 0.550724637681159 0.555555555555556 0.75 0.75 0.75 0.75 0.75 0.659090909090909 0.659090909090909 0.689189189189189 0.886792452830189 0.815789473684211 1 0.857142857142857 0.733333333333333 0.966666666666667 0.657894736842105 0.557692307692308 0.776595744680851 0.75 0.795454545454545 0.777777777777778 0.642857142857143 0.5 0.575 0.566666666666667 0.75 0.833333333333333 0.833333333333333 0.833333333333333 0.714285714285714 0.5625 0 0 0 0.25 0.666666666666667 0.666666666666667 0.775862068965517 0.705882352941176 0.5625 0.125 0.5 0.25 0.5 0.545454545454545 0.545454545454545 0.545454545454545 0.545454545454545 0.545454545454545 0.545454545454545 0.545454545454545 0.55 0.642857142857143 0.75 0.5 0.5 0.7 0.7 0.815789473684211 0 0.25 0.65 0.65 0.666666666666667 0.666666666666667 0.5 0.25 0.779411764705882 0.6875 0.6 0.555555555555556 0.523809523809524 0.481481481481482 0.481481481481482 0.448275862068966 0.448275862068966 0.448275862068966 0.448275862068966 0.407407407407407 0.2 1 0.75 0.779411764705882 0.764705882352941 0.767857142857143 0.96875 0.896551724137931 0.771428571428571 0.875 0.875 0.82 0.840909090909091 0.833333333333333 0.805555555555556 0.833333333333333 0.794117647058824 0.794117647058824
NCNAA 0.948051948051948 0.695652173913043 0.555555555555556 0.555555555555556 0.85 0.85 0.85 0.69811320754717 0.7 0.671052631578947 0.654545454545455 0.597222222222222 0.635714285714286 0.737704918032787 0.727272727272727 0.814814814814815 0.794117647058824 0.833333333333333 0.823529411764706 0.75 0.75 0.333333333333333 0.666666666666667 0.652173913043478 0.62037037037037 0.53125 0.53125 0.53125 0.53125 0.53125 0.5 0.5 0.783783783783784 0.877358490566038 0.789473684210526 0.5 0.857142857142857 1 0.466666666666667 0.736842105263158 0.673076923076923 0.702127659574468 0.634615384615385 0.681818181818182 0.722222222222222 0.642857142857143 0.259259259259259 0.35 0.333333333333333 1 1 1 1 0.696428571428571 0.75 0.333333333333333 0.333333333333333 0.333333333333333 0.5 0.666666666666667 0.666666666666667 0.793103448275862 0.720588235294118 0.5625 0.125 0 0 0.277777777777778 0.363636363636364 0.363636363636364 0.363636363636364 0.363636363636364 0.363636363636364 0.363636363636364 0.363636363636364 0.4 0.428571428571429 0.75 0.5 0.5 0.8 0.8 0.842105263157895 0 0.25 0.7 0.7 0.666666666666667 0.666666666666667 0.5 0.625 0.779411764705882 0.75 0.7 0.444444444444444 0.333333333333333 0.37037037037037 0.37037037037037 0.413793103448276 0.413793103448276 0.413793103448276 0.413793103448276 0.444444444444444 1 0.375 0.944444444444444 0.764705882352941 0.794117647058824 0.767857142857143 0.8125 0.706896551724138 0.657142857142857 0.6 0.604166666666667 0.58 0.590909090909091 0.619047619047619 0.666666666666667 0.722222222222222 0.676470588235294 0.676470588235294
NCPO 0.681818181818182 0.565217391304348 0.555555555555556 0.555555555555556 0.85 0.85 0.85 0.69811320754717 0.8 0.605263157894737 0.618181818181818 0.618055555555556 0.692857142857143 0.663934426229508 0.878787878787879 0.851851851851852 0.558823529411765 0.777777777777778 0.764705882352941 0.583333333333333 0.583333333333333 0.75 0.568627450980392 0.58695652173913 0.583333333333333 0.71875 0.71875 0.71875 0.71875 0.71875 0.727272727272727 0.727272727272727 0.594594594594595 0.792452830188679 0.710526315789474 1 0.857142857142857 0.533333333333333 0.7 0.763157894736842 0.557692307692308 0.808510638297872 0.730769230769231 0.727272727272727 0.75 0.619047619047619 0.537037037037037 0.6 0.633333333333333 0.5 0.666666666666667 0.666666666666667 0.666666666666667 0.678571428571429 0.6875 0.166666666666667 0.166666666666667 0.166666666666667 0.375 0.5 0.5 0.706896551724138 0.691176470588235 0.6875 0.5 0 0 0.388888888888889 0.409090909090909 0.409090909090909 0.409090909090909 0.409090909090909 0.409090909090909 0.409090909090909 0.409090909090909 0.45 0.5 0.5 0.75 0.75 0.5 0.5 0.736842105263158 0.5 0.5 0.75 0.75 0.777777777777778 0.75 0.75 0.5 0.75 0.59375 0.8 0.166666666666667 0.0952380952380952 0.12962962962963 0.12962962962963 0.155172413793103 0.155172413793103 0.155172413793103 0.155172413793103 0.166666666666667 0.2 0.875 0.833333333333333 0.897058823529412 0.882352941176471 0.875 0.90625 0.862068965517241 0.742857142857143 0.675 0.6875 0.66 0.704545454545455 0.714285714285714 0.722222222222222 0.777777777777778 0.794117647058824 0.794117647058824
NCPW 0.909090909090909 0.391304347826087 0.333333333333333 0.333333333333333 0.8 0.8 0.8 0.830188679245283 0.8 0.513157894736842 0.509090909090909 0.486111111111111 0.557142857142857 0.663934426229508 0.787878787878788 0.851851851851852 0.470588235294118 0.583333333333333 0.558823529411765 0.583333333333333 0.583333333333333 1 0.509803921568627 0.514492753623188 0.481481481481482 0.625 0.625 0.625 0.625 0.625 0.477272727272727 0.477272727272727 0.418918918918919 0.69811320754717 0.842105263157895 0.5 0.785714285714286 0.466666666666667 0.433333333333333 0.684210526315789 0.538461538461538 0.787234042553192 0.788461538461538 0.840909090909091 0.833333333333333 0.69047619047619 0.462962962962963 0.525 0.5 0.5 0.666666666666667 0.666666666666667 0.666666666666667 0.625 0.5 0 0 0 0.125 0.5 0.5 0.637931034482759 0.588235294117647 0.5 0.25 0 0 0.444444444444444 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.5 0.571428571428571 0.5 0.75 0.75 1 1 0.631578947368421 0.5 0.5 0.8 0.8 0.833333333333333 0.833333333333333 1 0.5 0.705882352941176 0.75 0.7 0.222222222222222 0.142857142857143 0.148148148148148 0.148148148148148 0.206896551724138 0.206896551724138 0.206896551724138 0.206896551724138 0.222222222222222 0.2 1 0.694444444444444 0.705882352941176 0.676470588235294 0.660714285714286 0.875 0.793103448275862 0.7 0.7 0.708333333333333 0.66 0.681818181818182 0.69047619047619 0.666666666666667 0.638888888888889 0.705882352941176 0.705882352941176
